CR,Size,AC,HP,walkSp,climbSp,flySp,swimSp,burrowSp,strSc,dexSc,conSc,intSc,wisSc,chaSc,strST,dexST,conST,intST,wisST,chaST,ResistanceAcid,ResistanceBludgeoning,ResistanceCold,ResistanceFire,ResistanceForce,ResistanceLightning,ResistanceNecrotic,ResistancePiercing,ResistancePoison,ResistancePsychic,ResistanceRadiant,ResistanceSlashing,ResistanceThunder,ImmunityAcid,ImmunityBludgeoning,ImmunityCold,ImmunityFire,ImmunityForce,ImmunityLightning,ImmunityNecrotic,ImmunityPiercing,ImmunityPoison,ImmunityPsychic,ImmunityRadiant,ImmunitySlashing,ImmunityThunder,VulnerabilityAcid,VulnerabilityBludgeoning,VulnerabilityCold,VulnerabilityFire,VulnerabilityForce,VulnerabilityLightning,VulnerabilityNecrotic,VulnerabilityPiercing,VulnerabilityPoison,VulnerabilityPsychic,VulnerabilityRadiant,VulnerabilitySlashing,VulnerabilityThunder,blindedImmunity,charmedImmunity,deafenedImmunity,exhaustionImmunity,frightenedImmunity,grappledImmunity,incapacitatedImmunity,invisibleImmunity,paralyzedImmunity,petrifiedImmunity,poisonedImmunity,proneImmunity,restrainedImmunity,stunnedImmunity,unconsciousImmunity,MaxDamage,LegendaryActions,LegendaryResistances,LairActions,MythicActions,RegionEffects
16.0,0.8,19,225,40,0,80,0,30,25,10,23,16,15,19,7,5,11,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,3,1,0,1
13.0,0.8,18,172,40,0,80,0,40,23,10,21,14,13,17,6,5,10,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,3,1,0,1
15.0,0.8,19,212,40,0,80,40,0,25,10,23,16,15,19,7,5,11,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,3,1,0,1
14.0,0.8,18,184,40,40,80,0,0,23,12,21,18,15,17,6,6,10,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,3,1,0,1
11.0,0.8,17,147,40,0,80,40,30,20,14,18,16,16,18,5,6,8,3,7,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,33,3,3,1,0,1
17.0,0.8,19,256,40,0,80,40,0,27,14,25,16,15,24,8,8,13,3,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,3,1,0,1
15.0,0.8,19,207,40,0,80,40,0,23,12,21,18,15,17,6,6,10,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,56,3,3,1,0,1
2.0,0.4,18,39,40,40,0,0,20,15,16,15,7,12,8,2,3,2,-2,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
13.0,0.8,17,172,40,0,80,0,20,23,12,20,10,13,15,6,1,10,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,2,0,0,0
17.0,0.8,19,256,40,40,80,0,0,27,10,25,16,13,21,8,6,13,3,7,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,63,3,3,0,0,0
17.0,0.8,19,256,40,40,80,0,0,27,10,25,16,13,21,8,6,13,3,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3,3,1,0,1
16.0,0.8,19,243,40,0,80,0,0,27,10,25,16,13,21,8,5,12,3,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,3,3,1,0,1
14.0,0.8,17,200,30,0,90,0,0,24,15,22,15,16,14,7,7,11,2,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,3,2,0,0,0
13.0,0.8,18,200,40,0,80,40,30,22,10,22,8,12,12,6,5,11,-1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,3,3,1,0,1
10.0,0.6,15,171,40,0,0,0,0,21,18,18,6,14,8,5,4,4,-2,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
8.0,0.6,15,133,40,40,0,0,0,21,16,18,6,14,8,5,3,4,-2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
7.0,0.4,18,117,30,0,30,0,0,18,14,14,9,10,10,4,2,2,-1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,24,0,0,0,0,0
5.0,0.6,15,90,0,0,90,0,0,14,20,14,6,10,6,2,5,2,-2,0,-2,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,28,0,0,0,0,0
3.0,0.4,18,52,30,0,0,0,0,16,16,14,11,14,13,5,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
0.25,0.4,13,30,25,0,0,0,0,13,13,17,12,14,11,1,1,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1.0,0.4,14,49,20,0,0,30,0,13,8,12,10,14,10,1,-1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
11.0,0.4,17,168,40,40,0,0,0,12,19,22,6,11,7,1,8,10,-2,0,-2,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,54,0,0,0,0,0
5.0,0.4,13,40,0,0,40,0,0,6,17,10,17,15,16,-2,3,0,6,5,3,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,17,0,0,0,0,0
2.0,0.6,13,51,60,0,0,0,0,19,13,17,2,12,5,4,1,3,-4,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0
9.0,0.8,15,137,40,40,0,0,0,24,10,22,16,13,10,7,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0
3.0,0.6,12,51,40,40,0,0,0,18,13,16,16,12,10,4,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
0.0,0.2,13,3,50,0,0,0,0,2,16,10,2,14,10,-4,3,0,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
12.0,0.6,17,135,10,0,0,30,0,21,9,15,18,18,18,5,-1,6,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,0
10.0,0.4,17,178,30,0,0,30,0,22,9,20,3,11,1,6,-1,5,-4,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,38,0,0,0,0,0
10.0,0.6,17,178,30,0,0,0,0,22,9,20,3,11,1,6,-1,5,-4,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,38,0,0,0,0,0
0.5,0.4,13,22,30,0,0,0,0,13,15,14,4,11,6,1,2,2,-3,0,-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0.5,0.4,14,11,30,0,0,30,0,14,18,12,3,10,3,2,4,1,-4,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
3.0,0.8,12,60,30,0,0,30,0,19,14,12,1,10,3,4,2,1,-5,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
0.25,0.4,13,11,30,0,0,0,0,14,13,12,9,11,10,2,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
21.0,1.0,22,367,40,0,80,40,0,27,14,25,16,15,19,8,9,14,3,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,3,3,1,0,1
23.0,1.0,22,481,40,0,80,0,40,29,10,27,18,17,21,9,7,15,4,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,3,3,1,0,1
20.0,1.0,20,297,40,0,80,0,40,27,10,25,16,15,19,8,6,13,3,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,3,1,0,1
22.0,1.0,22,444,40,0,80,40,0,29,10,27,18,17,21,9,7,15,4,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,3,3,1,0,1
21.0,1.0,21,350,40,40,80,0,0,27,12,25,20,17,19,8,8,14,5,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3,3,1,0,1
15.0,0.8,18,187,20,0,80,0,0,23,16,23,10,15,19,6,3,11,0,7,4,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,3,0,0,0,1
18.0,1.0,20,201,40,0,80,40,40,23,16,20,19,18,21,6,9,11,4,10,11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,49,3,3,1,0,1
24.0,1.0,22,409,30,0,0,60,0,28,12,29,14,19,15,9,8,16,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,71,3,3,1,1,1
24.0,1.0,22,546,40,0,80,40,0,30,14,29,18,17,28,10,9,16,4,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,3,3,1,0,1
22.0,1.0,21,385,40,0,80,40,0,27,12,25,20,17,19,8,8,14,5,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,77,3,3,1,0,1
19.0,1.0,18,297,40,0,80,0,20,27,12,24,12,15,17,8,1,13,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,3,0,0,0
24.0,1.0,22,546,40,40,80,0,0,30,10,29,18,15,23,10,7,16,4,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,3,3,1,0,1
14.0,1.0,17,170,20,0,0,60,0,24,15,20,13,16,12,12,2,10,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3,2,0,0,0
23.0,1.0,22,487,40,0,80,0,0,30,10,29,18,15,23,10,7,16,4,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,3,3,1,0,1
21.0,1.0,18,425,30,0,120,0,0,28,15,26,17,18,16,9,9,15,3,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3,3,0,0,0
20.0,1.0,20,333,40,0,80,40,40,26,10,26,10,13,14,8,6,14,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,3,3,1,0,1
13.0,0.4,18,255,30,0,0,0,0,17,10,19,8,13,6,3,0,4,-1,1,-2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
9.0,0.8,15,157,50,0,0,0,0,22,11,18,4,14,2,6,0,4,-3,6,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,57,0,0,0,0,0
1.0,0.4,18,33,25,0,0,0,0,14,11,13,1,3,1,2,0,1,-5,-4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0
2.0,0.6,15,50,30,0,0,0,0,14,10,10,3,3,1,2,0,0,-4,-4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,16,0,0,0,0,0
6.0,0.6,17,95,30,0,30,0,0,19,11,18,6,10,5,4,0,4,-2,0,-3,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,26,0,0,0,0,0
0.25,0.2,15,17,0,0,50,0,0,10,17,10,1,5,1,0,3,0,-5,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,5,0,0,0,0,0
1.0,0.6,14,45,10,0,0,0,0,15,8,14,1,5,1,2,-1,2,-5,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,6,0,0,0,0,0
1.0,0.4,18,33,25,0,0,0,0,14,11,13,1,3,1,2,0,1,-5,-4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,5,0,0,0,0,0
1.0,0.6,10,22,10,0,60,0,0,15,10,15,6,12,7,2,0,2,-2,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,16,0,0,0,0,0
0.25,0.2,15,17,0,0,50,0,0,12,15,11,1,5,1,1,4,0,-5,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,6,0,0,0,0,0
0.25,0.4,14,11,30,0,0,30,0,10,18,13,2,10,3,0,4,1,-4,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0
0.125,0.0,17,12,0,0,50,0,0,12,15,11,1,5,1,1,4,0,-5,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0
11.0,0.8,17,230,30,0,0,0,0,22,9,20,3,11,1,6,-1,5,-4,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,38,0,0,0,0,0
3.0,0.6,17,50,30,0,0,0,0,14,10,10,3,3,1,2,0,0,-4,-4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
2.0,0.6,15,39,40,0,0,0,0,18,8,13,1,3,1,4,-1,1,-5,-4,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,13,0,0,0,0,0
